Sex,Race/Ethnicity,Age,Year,Survival Time,5-Year Relative Survival Rate (Percent Survivng),5-Year Relative Survival Rate Lower Confidence Interval,5-Year Relative Survival Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction
Both Sexes,All Races (includes Hispanic),Ages < 50,5 years,2000,75.3638,74.9767,75.7459,2000-2015,0.4851,0.4344,0.5357,Trend is Rising
Both Sexes,All Races (includes Hispanic),Ages < 50,5 years,2001,76.0027,75.6231,76.3773,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,5 years,2002,76.3165,75.938,76.6901,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,5 years,2003,76.9357,76.5609,77.3055,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,5 years,2004,77.6862,77.3197,78.0477,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,5 years,2005,78.1337,77.7672,78.495,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,5 years,2006,78.8005,78.4405,79.1554,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,5 years,2007,79.0949,78.7379,79.4467,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,5 years,2008,79.7557,79.404,80.1021,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,5 years,2009,80.2187,79.8703,80.5618,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,5 years,2010,80.1375,79.7817,80.4878,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,5 years,2011,80.2827,79.927,80.6329,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,5 years,2012,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,5 years,2013,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,5 years,2014,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,5 years,2015,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,5 years,2016,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,1 year,2000,81.8831,81.6202,82.1427,2000-2004,0.1865,0.0471,0.326,Trend is Rising
Both Sexes,All Races (includes Hispanic),Ages 50-64,1 year,2001,82.6166,82.3628,82.8673,2004-2007,0.4591,0.3173,0.6009,Trend is Rising
Both Sexes,All Races (includes Hispanic),Ages 50-64,1 year,2002,82.9441,82.6967,83.1884,2007-2015,-0.0457,-0.1018,0.0103,Stable
Both Sexes,All Races (includes Hispanic),Ages 50-64,1 year,2003,82.572,82.3219,82.819,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,1 year,2004,83.1789,82.9361,83.4186,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,1 year,2005,83.4402,83.1984,83.6789,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,1 year,2006,84.0435,83.8139,84.2702,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,1 year,2007,84.48,84.2586,84.6986,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,1 year,2008,84.654,84.4355,84.8696,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,1 year,2009,84.8791,84.6647,85.0908,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,1 year,2010,84.8235,84.6092,85.035,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,1 year,2011,84.7976,84.5854,85.0071,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,1 year,2012,84.4926,84.2767,84.7058,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,1 year,2013,84.4876,84.2706,84.7018,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,1 year,2014,84.6156,84.4007,84.8277,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,1 year,2015,84.7591,84.5448,84.9707,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,1 year,2016,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,3 years,2000,71.636,71.3209,71.9484,2000-2004,0.2793,0.0699,0.4886,Trend is Rising
Both Sexes,All Races (includes Hispanic),Ages 50-64,3 years,2001,72.5258,72.2195,72.8294,2004-2007,0.6936,0.4806,0.9066,Trend is Rising
Both Sexes,All Races (includes Hispanic),Ages 50-64,3 years,2002,73.1872,72.8885,73.4831,2007-2015,-0.0694,-0.1544,0.0157,Stable
Both Sexes,All Races (includes Hispanic),Ages 50-64,3 years,2003,72.7823,72.4818,73.0801,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,3 years,2004,73.1317,72.8373,73.4235,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,3 years,2005,73.708,73.415,73.9984,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,3 years,2006,74.4419,74.1618,74.7195,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,3 years,2007,75.2158,74.9452,75.4839,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,3 years,2008,75.0933,74.8249,75.3594,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,3 years,2009,75.3941,75.13,75.6559,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,3 years,2010,75.3686,75.1049,75.6299,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,3 years,2011,75.2364,74.9748,75.4957,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,3 years,2012,74.5162,74.2493,74.7808,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,3 years,2013,74.1802,73.9098,74.4483,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,3 years,2014,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,3 years,2015,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,3 years,2016,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,5 years,2000,67.4787,67.1424,67.8124,2000-2004,0.3112,0.0777,0.5447,Trend is Rising
Both Sexes,All Races (includes Hispanic),Ages 50-64,5 years,2001,68.6533,68.3263,68.9778,2004-2007,0.7759,0.5381,1.0137,Trend is Rising
Both Sexes,All Races (includes Hispanic),Ages 50-64,5 years,2002,69.3142,68.9948,69.631,2007-2015,-0.0777,-0.1731,0.0176,Stable
Both Sexes,All Races (includes Hispanic),Ages 50-64,5 years,2003,68.7943,68.4732,69.1128,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,5 years,2004,69.1877,68.873,69.4999,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,5 years,2005,69.5981,69.2842,69.9096,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,5 years,2006,70.6282,70.3278,70.9263,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,5 years,2007,71.4908,71.2001,71.7793,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,5 years,2008,71.316,71.0275,71.6021,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,5 years,2009,71.6899,71.4058,71.9719,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,5 years,2010,71.4141,71.1296,71.6964,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,5 years,2011,71.2437,70.9607,71.5246,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,5 years,2012,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,5 years,2013,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,5 years,2014,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,5 years,2015,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,5 years,2016,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,1 year,2000,71.7257,71.4821,71.9676,2000-2004,-0.0169,-0.1912,0.1573,Stable
Both Sexes,All Races (includes Hispanic),Ages 65+,1 year,2001,71.932,71.69,72.1724,2004-2007,0.4835,0.2944,0.6727,Trend is Rising
Both Sexes,All Races (includes Hispanic),Ages 65+,1 year,2002,72.1578,71.9151,72.3988,2007-2015,0.1051,0.0319,0.1783,Trend is Rising
Both Sexes,All Races (includes Hispanic),Ages 65+,1 year,2003,71.6079,71.361,71.8531,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,1 year,2004,72.0715,71.8266,72.3148,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,1 year,2005,72.085,71.8353,72.3329,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,1 year,2006,72.7117,72.4691,72.9526,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,1 year,2007,73.3024,73.0637,73.5393,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,1 year,2008,73.4199,73.1817,73.6563,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,1 year,2009,73.8703,73.6341,74.1047,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,1 year,2010,73.8305,73.5941,74.0652,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,1 year,2011,74.801,74.567,75.0333,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,1 year,2012,74.0459,73.8106,74.2795,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,1 year,2013,74.1667,73.9333,74.3984,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,1 year,2014,74.1945,73.9614,74.4259,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,1 year,2015,74.7099,74.4804,74.9377,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,1 year,2016,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,3 years,2000,61.6143,61.3244,61.9026,2000-2004,-0.0213,-0.2408,0.1982,Stable
Both Sexes,All Races (includes Hispanic),Ages 65+,3 years,2001,62.0326,61.7448,62.3189,2004-2007,0.612,0.3735,0.8505,Trend is Rising
Both Sexes,All Races (includes Hispanic),Ages 65+,3 years,2002,62.4382,62.1497,62.7253,2007-2015,0.134,0.0407,0.2274,Trend is Rising
Both Sexes,All Races (includes Hispanic),Ages 65+,3 years,2003,61.3901,61.098,61.6808,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,3 years,2004,61.9487,61.6585,62.2375,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,3 years,2005,62.0432,61.7475,62.3374,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,3 years,2006,63.028,62.7401,63.3143,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,3 years,2007,63.862,63.5783,64.1441,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,3 years,2008,63.4052,63.122,63.687,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,3 years,2009,63.9654,63.6842,64.2451,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,3 years,2010,63.9978,63.7167,64.2773,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,3 years,2011,64.8939,64.6137,65.1725,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,3 years,2012,63.7359,63.4555,64.0147,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,3 years,2013,63.7212,63.442,63.9989,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,3 years,2014,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,3 years,2015,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,3 years,2016,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,5 years,2000,57.7538,57.4306,58.0756,2000-2004,-0.0227,-0.2562,0.2108,Stable
Both Sexes,All Races (includes Hispanic),Ages 65+,5 years,2001,58.3308,58.0103,58.6498,2004-2007,0.6524,0.3985,0.9063,Trend is Rising
Both Sexes,All Races (includes Hispanic),Ages 65+,5 years,2002,58.6637,58.3424,58.9835,2007-2015,0.1433,0.0435,0.2431,Trend is Rising
Both Sexes,All Races (includes Hispanic),Ages 65+,5 years,2003,57.6343,57.3098,57.9572,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,5 years,2004,58.1003,57.778,58.4211,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,5 years,2005,58.3417,58.0135,58.6684,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,5 years,2006,59.2533,58.9333,59.5717,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,5 years,2007,60.204,59.8883,60.5182,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,5 years,2008,59.4084,59.0942,59.7212,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,5 years,2009,60.1136,59.8014,60.4241,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,5 years,2010,59.9,59.5879,60.2107,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,5 years,2011,60.8131,60.5006,61.124,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,5 years,2012,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,5 years,2013,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,5 years,2014,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,5 years,2015,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,5 years,2016,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,1 year,2000,92.2076,91.0943,93.1869,2000-2015,0.1467,0.1014,0.1919,Trend is Rising
Both Sexes,All Races (includes Hispanic),Ages <15,1 year,2001,90.8344,89.6848,91.8617,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,1 year,2002,90.7423,89.5762,91.7839,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,1 year,2003,92.0169,90.8696,93.0256,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,1 year,2004,92.6096,91.5505,93.5407,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,1 year,2005,92.0942,91.0024,93.0586,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,1 year,2006,92.9121,91.8437,93.8452,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,1 year,2007,91.9071,90.8185,92.8718,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,1 year,2008,92.5265,91.4772,93.4513,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,1 year,2009,91.9296,90.8602,92.8788,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,1 year,2010,93.1424,92.1371,94.0233,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,1 year,2011,93.6617,92.6789,94.5165,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,1 year,2012,93.6788,92.683,94.543,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,1 year,2013,93.1776,92.1551,94.0713,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,1 year,2014,93.0183,91.9941,93.9159,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,1 year,2015,92.9238,91.8767,93.8404,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,1 year,2016,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,3 years,2000,82.6898,81.1609,84.107,2000-2015,0.2785,0.1933,0.3636,Trend is Rising
Both Sexes,All Races (includes Hispanic),Ages <15,3 years,2001,82.2593,80.7687,83.6464,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,3 years,2002,82.0536,80.5408,83.4611,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,3 years,2003,84.555,83.0591,85.9302,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,3 years,2004,84.7389,83.3174,86.0496,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,3 years,2005,84.5594,83.1285,85.8795,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,3 years,2006,85.6326,84.2062,86.9404,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,3 years,2007,85.0874,83.6904,86.3747,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,3 years,2008,85.9516,84.5919,87.2006,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,3 years,2009,85.1033,83.7296,86.3707,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,3 years,2010,86.2442,84.9,87.4776,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,3 years,2011,86.5725,85.2215,87.8089,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,3 years,2012,87.326,85.9823,88.5495,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,3 years,2013,85.8661,84.4556,87.1586,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,3 years,2014,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,3 years,2015,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,3 years,2016,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,5 years,2000,80.0155,78.404,81.5213,2000-2015,0.3218,0.2237,0.4199,Trend is Rising
Both Sexes,All Races (includes Hispanic),Ages <15,5 years,2001,79.3918,77.8178,80.8682,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,5 years,2002,79.0659,77.466,80.5668,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,5 years,2003,81.4768,79.8751,82.965,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,5 years,2004,82.3248,80.8205,83.7232,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,5 years,2005,81.5247,79.9928,82.9521,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,5 years,2006,83.1497,81.6311,84.5549,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,5 years,2007,82.2337,80.738,83.6253,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,5 years,2008,82.8278,81.3545,84.1963,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,5 years,2009,83.1,81.6538,84.4433,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,5 years,2010,84.2666,82.8427,85.5827,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,5 years,2011,83.7232,82.2486,85.0866,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,5 years,2012,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,5 years,2013,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,5 years,2014,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,5 years,2015,-,-,-,,,,,
