Sex,Race/Ethnicity,Age,Rate Type,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2001,490.3531,488.9932,491.7157,2004-2007,0.6266,-2.2623,3.6009,Stable
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2002,487.7399,486.3942,489.0884,2007-2016,-1.0454,-1.2985,-0.7916,Trend is Falling
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2003,475.2225,473.9042,476.5435,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2004,476.4208,475.1091,477.7352,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2005,474.5829,473.2689,475.8996,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2006,479.1111,477.8113,480.4135,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2007,484.1317,482.8358,485.4303,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2008,480.6415,479.3605,481.925,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2009,477.7251,476.4579,478.9949,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2010,465.1462,463.9053,466.3897,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2011,464.9467,463.7156,466.1803,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2012,453.2206,452.0162,454.4274,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2013,449.7852,448.5965,450.9762,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2014,447.5465,446.3701,448.7253,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2015,448.8374,447.6667,450.0104,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2016,441.2506,440.0932,442.4104,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2000,96.3575,95.6635,97.0553,2000-2008,0.8725,0.5809,1.165,Trend is Rising
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2001,97.4878,96.7933,98.1861,2008-2016,-0.0546,-0.3417,0.2333,Stable
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2002,97.085,96.3946,97.7792,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2003,97.1725,96.4833,97.8654,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2004,99.213,98.5174,99.9123,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2005,100.4953,99.7879,101.2064,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2006,100.455,99.7536,101.16,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2007,101.8162,101.1084,102.5277,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2008,103.4566,102.7412,104.1759,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2009,103.7969,103.0789,104.5187,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2010,101.3882,100.6764,102.1037,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2011,102.4994,101.7818,103.2207,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2012,102.5354,101.8156,103.2591,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2013,102.0153,101.2949,102.7396,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2014,103.0647,102.3381,103.7951,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2015,103.6946,102.9648,104.4282,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2016,101.2209,100.4995,101.9461,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2000,96.3575,95.6635,97.0553,2000-2008,0.8642,0.5806,1.1486,Trend is Rising
Both Sexes,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2001,97.4878,96.7933,98.1861,2008-2016,0.1672,-0.1127,0.4479,Stable
Both Sexes,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2002,97.085,96.3946,97.7792,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2003,97.1725,96.4833,97.8654,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2004,99.213,98.5174,99.9123,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2005,100.4953,99.7879,101.2064,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2006,100.455,99.7536,101.16,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2007,101.8162,101.1084,102.5277,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2008,103.5895,102.8731,104.3097,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2009,104.0647,103.3448,104.7883,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2010,101.7811,101.0666,102.4994,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2011,103.0292,102.3079,103.7542,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2012,103.1995,102.475,103.9278,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2013,102.8078,102.0818,103.5377,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2014,104.1839,103.4494,104.9222,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2015,105.236,104.4954,105.9805,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2016,103.499,102.7614,104.2405,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Observed Rates,2000,893.668,888.9401,898.4147,2000-2004,-1.4551,-2.7889,-0.1029,Trend is Falling
Both Sexes,All Races (includes Hispanic),Ages 50-64,Observed Rates,2001,895.636,890.9799,900.3103,2004-2007,0.7036,-3.3283,4.9037,Stable
Both Sexes,All Races (includes Hispanic),Ages 50-64,Observed Rates,2002,892.3559,887.8022,896.9272,2007-2016,-1.127,-1.4701,-0.7827,Trend is Falling
Both Sexes,All Races (includes Hispanic),Ages 50-64,Observed Rates,2003,857.7561,853.3794,862.1498,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Observed Rates,2004,856.4139,852.1178,860.7263,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Observed Rates,2005,848.563,844.3148,852.8273,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Observed Rates,2006,862.5616,858.3888,866.7497,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Observed Rates,2007,875.1698,871.0492,879.3051,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Observed Rates,2008,866.0384,861.999,870.092,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Observed Rates,2009,860.6011,856.6381,864.5779,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Observed Rates,2010,832.4982,828.6643,836.3455,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Observed Rates,2011,833.9014,830.1159,837.7,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Observed Rates,2012,808.879,805.1676,812.6033,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Observed Rates,2013,802.7883,799.1143,806.475,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Observed Rates,2014,806.3353,802.6766,810.0066,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Observed Rates,2015,804.4807,800.8443,808.1296,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Observed Rates,2016,788.7775,785.1861,792.3813,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2000,893.668,888.9401,898.4147,2000-2005,-1.1309,-2.0359,-0.2175,Trend is Falling
Both Sexes,All Races (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2001,895.636,890.9799,900.3103,2005-2008,0.9404,-2.8333,4.8607,Stable
Both Sexes,All Races (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2002,892.3559,887.8022,896.9272,2008-2012,-1.7348,-3.5116,0.0746,Stable
Both Sexes,All Races (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2003,857.7561,853.3794,862.1498,2012-2016,-0.1186,-1.262,1.0379,Stable
Both Sexes,All Races (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2004,856.4139,852.1178,860.7263,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2005,848.563,844.3148,852.8273,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2006,862.5616,858.3888,866.7497,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2007,875.1698,871.0492,879.3051,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2008,867.2033,863.1585,871.2624,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2009,862.9177,858.944,866.9052,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2010,835.8645,832.015,839.7273,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2011,838.3889,834.583,842.2079,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2012,814.3426,810.6061,818.092,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2013,809.2888,805.585,813.0053,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2014,815.3578,811.6581,819.0701,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2015,817.2053,813.5113,820.9119,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,Delay-adjusted Rates,2016,808.5294,804.848,812.2235,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Observed Rates,2000,2260.4834,2252.1272,2268.8629,2000-2004,-1.1134,-1.8603,-0.3609,Trend is Falling
Both Sexes,All Races (includes Hispanic),Ages 65+,Observed Rates,2001,2258.9026,2250.5766,2267.2518,2004-2007,0.5861,-1.7998,3.03,Stable
Both Sexes,All Races (includes Hispanic),Ages 65+,Observed Rates,2002,2244.4249,2236.1511,2252.7216,2007-2016,-1.7014,-1.909,-1.4933,Trend is Falling
Both Sexes,All Races (includes Hispanic),Ages 65+,Observed Rates,2003,2185.9377,2177.8039,2194.0943,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Observed Rates,2004,2185.3281,2177.218,2193.4608,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Observed Rates,2005,2172.7598,2164.6245,2180.918,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Observed Rates,2006,2192.2089,2184.145,2200.2951,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Observed Rates,2007,2209.1791,2201.1343,2217.246,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Observed Rates,2008,2178.1404,2170.2273,2186.075,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Observed Rates,2009,2154.7582,2146.9529,2162.5848,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Observed Rates,2010,2097.9166,2090.2817,2105.5723,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Observed Rates,2011,2083.6275,2076.0922,2091.1833,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Observed Rates,2012,2016.1903,2008.8975,2023.503,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Observed Rates,2013,1994.8661,1987.7245,2002.027,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Observed Rates,2014,1955.9589,1948.9916,1962.9449,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Observed Rates,2015,1948.4754,1941.6176,1955.3514,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Observed Rates,2016,1885.6331,1878.9771,1892.3068,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Delay-adjusted Rates,2000,2260.4834,2252.1272,2268.8629,2000-2004,-1.0957,-1.9036,-0.2812,Trend is Falling
Both Sexes,All Races (includes Hispanic),Ages 65+,Delay-adjusted Rates,2001,2258.9026,2250.5766,2267.2518,2004-2007,0.4781,-2.0978,3.1218,Stable
Both Sexes,All Races (includes Hispanic),Ages 65+,Delay-adjusted Rates,2002,2244.4249,2236.1511,2252.7216,2007-2016,-1.4632,-1.6883,-1.2375,Trend is Falling
Both Sexes,All Races (includes Hispanic),Ages 65+,Delay-adjusted Rates,2003,2185.9377,2177.8039,2194.0943,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Delay-adjusted Rates,2004,2185.3281,2177.218,2193.4608,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Delay-adjusted Rates,2005,2172.7598,2164.6245,2180.918,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Delay-adjusted Rates,2006,2192.2089,2184.145,2200.2951,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Delay-adjusted Rates,2007,2209.1791,2201.1343,2217.246,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Delay-adjusted Rates,2008,2180.8623,2172.9393,2188.8069,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Delay-adjusted Rates,2009,2160.1516,2152.3268,2167.9977,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Delay-adjusted Rates,2010,2105.7992,2098.1356,2113.4837,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Delay-adjusted Rates,2011,2094.0791,2086.5059,2101.6728,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Delay-adjusted Rates,2012,2028.8555,2021.5168,2036.2141,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Delay-adjusted Rates,2013,2009.9129,2002.7174,2017.1277,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Delay-adjusted Rates,2014,1977.1194,1970.0767,1984.1809,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Delay-adjusted Rates,2015,1979.1169,1972.1512,1986.1011,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,Delay-adjusted Rates,2016,1939.3281,1932.4823,1946.1919,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Observed Rates,2000,15.1102,14.6117,15.6213,2000-2016,0.6764,0.4324,0.921,Trend is Rising
Both Sexes,All Races (includes Hispanic),Ages <15,Observed Rates,2001,15.9468,15.435,16.4711,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Observed Rates,2002,15.5598,15.0545,16.0778,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Observed Rates,2003,14.7138,14.2224,15.2178,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Observed Rates,2004,15.7649,15.2558,16.2868,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Observed Rates,2005,15.7754,15.259,16.3048,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Observed Rates,2006,15.519,15.0101,16.0409,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Observed Rates,2007,16.2962,15.7741,16.831,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Observed Rates,2008,16.2542,15.7333,16.7879,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Observed Rates,2009,16.5751,16.0491,17.1141,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Observed Rates,2010,16.4622,15.9379,16.9993,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Observed Rates,2011,16.4194,15.8956,16.956,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Observed Rates,2012,16.2255,15.7041,16.7598,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Observed Rates,2013,16.6104,16.0821,17.1517,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Observed Rates,2014,16.9141,16.3804,17.4607,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Observed Rates,2015,17.2982,16.7578,17.8515,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Observed Rates,2016,16.5356,16.0065,17.0779,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Delay-adjusted Rates,2000,15.1102,14.6117,15.6213,2000-2016,0.7867,0.5464,1.0276,Trend is Rising
Both Sexes,All Races (includes Hispanic),Ages <15,Delay-adjusted Rates,2001,15.9468,15.435,16.4711,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Delay-adjusted Rates,2002,15.5598,15.0545,16.0778,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Delay-adjusted Rates,2003,14.7138,14.2224,15.2178,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Delay-adjusted Rates,2004,15.7649,15.2558,16.2868,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Delay-adjusted Rates,2005,15.7754,15.259,16.3048,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Delay-adjusted Rates,2006,15.519,15.0101,16.0409,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Delay-adjusted Rates,2007,16.2962,15.7741,16.831,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Delay-adjusted Rates,2008,16.2756,15.754,16.8101,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Delay-adjusted Rates,2009,16.6194,16.0919,17.1597,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Delay-adjusted Rates,2010,16.528,16.0016,17.0672,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Delay-adjusted Rates,2011,16.5061,15.9796,17.0455,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Delay-adjusted Rates,2012,16.3328,15.8079,16.8705,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Delay-adjusted Rates,2013,16.7431,16.2106,17.2886,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Delay-adjusted Rates,2014,17.1025,16.5629,17.6552,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Delay-adjusted Rates,2015,17.5589,17.0103,18.1205,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,Delay-adjusted Rates,2016,16.9113,16.3701,17.4657,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Observed Rates,2000,65.9221,65.1181,66.7335,2000-2016,0.886,0.7674,1.0048,Trend is Rising
Both Sexes,All Races (includes Hispanic),Ages 15-39,Observed Rates,2001,67.0772,66.264,67.8978,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Observed Rates,2002,67.3044,66.4864,68.13,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Observed Rates,2003,67.32,66.4976,68.1499,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Observed Rates,2004,68.6307,67.7963,69.4728,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Observed Rates,2005,70.387,69.5308,71.251,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Observed Rates,2006,69.3177,68.4746,70.1686,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Observed Rates,2007,70.8832,70.0302,71.7439,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Observed Rates,2008,73.0904,72.2231,73.9654,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Observed Rates,2009,72.5619,71.6975,73.4341,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Observed Rates,2010,71.4478,70.5877,72.3156,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Observed Rates,2011,72.8818,72.012,73.7594,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Observed Rates,2012,73.9726,73.0977,74.8553,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Observed Rates,2013,73.3671,72.4994,74.2424,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Observed Rates,2014,75.4775,74.6021,76.3604,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Observed Rates,2015,76.1887,75.3144,77.0704,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Observed Rates,2016,75.7108,74.8449,76.584,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2000,65.9221,65.1181,66.7335,2000-2016,0.9965,0.8823,1.1108,Trend is Rising
Both Sexes,All Races (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2001,67.0772,66.264,67.8978,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2002,67.3044,66.4864,68.13,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2003,67.32,66.4976,68.1499,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2004,68.6307,67.7963,69.4728,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2005,70.387,69.5308,71.251,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2006,69.3177,68.4746,70.1686,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2007,70.8832,70.0302,71.7439,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2008,73.1845,72.3161,74.0606,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2009,72.7488,71.8821,73.6231,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2010,71.7249,70.8615,72.5961,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2011,73.2599,72.3856,74.142,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2012,74.4531,73.5724,75.3415,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2013,73.9387,73.0643,74.8209,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2014,76.3019,75.417,77.1945,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2015,77.3213,76.434,78.2161,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,Delay-adjusted Rates,2016,77.4097,76.5244,78.3025,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,Observed Rates,2000,582.7028,580.0257,585.3892,2000-2004,-0.9879,-2.0722,0.1085,Stable
Both Sexes,All Races (includes Hispanic),Ages 40-64,Observed Rates,2001,584.425,581.7831,587.076,2004-2007,0.8773,-2.4225,4.2887,Stable
Both Sexes,All Races (includes Hispanic),Ages 40-64,Observed Rates,2002,581.8555,579.265,584.4546,2007-2016,-0.9632,-1.252,-0.6735,Trend is Falling
Both Sexes,All Races (includes Hispanic),Ages 40-64,Observed Rates,2003,565.571,563.0584,568.0921,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,Observed Rates,2004,567.4936,565.0124,569.9831,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,Observed Rates,2005,564.6143,562.1452,567.0917,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,Observed Rates,2006,572.8554,570.4206,575.298,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,Observed Rates,2007,579.9401,577.5226,582.3654,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,Observed Rates,2008,576.792,574.402,579.1896,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,Observed Rates,2009,575.3099,572.946,577.6812,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,Observed Rates,2010,557.0895,554.7867,559.3996,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,Observed Rates,2011,558.7829,556.4944,561.0788,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,Observed Rates,2012,545.3852,543.1247,547.653,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,Observed Rates,2013,541.577,539.3272,543.834,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,Observed Rates,2014,543.1463,540.8961,545.4037,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,Observed Rates,2015,542.6289,540.3819,544.8832,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,Observed Rates,2016,530.0878,527.8681,532.3147,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,Delay-adjusted Rates,2000,582.7028,580.0257,585.3892,2000-2004,-0.9407,-2.0646,0.1962,Stable
