Sex,Race/Ethnicity,Age,Stage at Diagnosis,Survival Time,Survival Rate (%),Survival Rate Standard Error,Survival Rate Lower Confidence Interval,Survival Rate Upper Confidence Interval
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,6 years,81.4299,0.1985,81.0372,81.8153
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,7 years,80.8248,0.203,80.4233,81.2191
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,8 years,80.281,0.2076,79.8704,80.6843
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,9 years,79.8927,0.2115,79.4744,80.3036
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,10 years,79.5518,0.2155,79.1256,79.9704
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,Diagnosis,100,-,-,-
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,1 year,93.2402,0.0465,93.1485,93.3307
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,2 years,88.8206,0.0591,88.7042,88.9359
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,3 years,86.0953,0.0659,85.9656,86.224
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,4 years,84.2236,0.0705,84.0849,84.3613
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,5 years,82.8511,0.0741,82.7053,82.9957
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,6 years,81.7122,0.0772,81.5603,81.8631
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,7 years,80.7904,0.0801,80.6329,80.9469
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,8 years,79.9994,0.0828,79.8365,80.1612
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,9 years,79.2819,0.0857,79.1133,79.4493
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,10 years,78.6644,0.0886,78.4901,78.8375
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,Diagnosis,100,-,-,-
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,1 year,85.1583,0.0246,85.1101,85.2064
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,2 years,78.9591,0.0287,78.9029,79.0152
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,3 years,75.5491,0.0309,75.4885,75.6096
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,4 years,73.3016,0.0325,73.2378,73.3653
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,5 years,71.6162,0.034,71.5496,71.6827
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,6 years,70.2947,0.0353,70.2253,70.3639
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,7 years,69.2011,0.0368,69.129,69.2731
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,8 years,68.2538,0.0383,68.1787,68.3287
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,9 years,67.4084,0.04,67.33,67.4867
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,10 years,66.6382,0.0419,66.5559,66.7203
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,Diagnosis,100,-,-,-
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,1 year,79.2967,0.0376,79.2229,79.3703
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,2 years,72.9808,0.0427,72.897,73.0644
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,3 years,69.5755,0.046,69.4852,69.6657
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,4 years,67.3528,0.049,67.2567,67.4487
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,5 years,65.7305,0.0519,65.6286,65.8322
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,6 years,64.3834,0.0551,64.2753,64.4913
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,7 years,63.2128,0.0587,63.0977,63.3276
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,8 years,62.1757,0.0627,62.0526,62.2984
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,9 years,61.278,0.0674,61.1457,61.41
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,10 years,60.3949,0.073,60.2515,60.5379
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,Diagnosis,100,-,-,-
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,1 year,66.1696,0.0472,66.0769,66.2621
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,2 years,59.2395,0.0526,59.1363,59.3426
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,3 years,55.6455,0.0572,55.5332,55.7576
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,4 years,53.3474,0.062,53.2257,53.4688
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,5 years,51.5768,0.0673,51.4449,51.7086
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,6 years,50.1413,0.0733,49.9976,50.2848
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,7 years,48.8498,0.0802,48.6925,49.0068
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,8 years,47.7506,0.0883,47.5774,47.9236
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,9 years,46.6573,0.098,46.465,46.8492
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,10 years,45.5724,0.1098,45.3569,45.7875
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,Diagnosis,100,-,-,-
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,1 year,92.9071,0.1024,92.7036,93.1051
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,2 years,87.9638,0.1311,87.7043,88.2182
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,3 years,85.2718,0.1445,84.9861,85.5525
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,4 years,83.6422,0.1525,83.3408,83.9387
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,5 years,82.4849,0.1585,82.1717,82.7932
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,6 years,81.6634,0.1632,81.3411,81.9808
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,7 years,81.0175,0.1673,80.6871,81.3429
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,8 years,80.4828,0.1711,80.1448,80.8157
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,9 years,80.0564,0.1747,79.7114,80.3963
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,10 years,79.7114,0.1782,79.3596,80.0581
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,Diagnosis,100,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,1 year,75.4094,0.3054,74.8048,76.002
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,2 years,68.177,0.3406,67.5042,68.8392
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,3 years,64.2103,0.3629,63.4942,64.9166
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,4 years,61.5599,0.3819,60.8066,62.3036
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,5 years,59.7989,0.3999,59.0102,60.5778
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,6 years,58.2255,0.419,57.3993,59.0419
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,7 years,57.212,0.4389,56.3467,58.0671
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,8 years,56.2027,0.4619,55.292,57.1027
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,9 years,55.0173,0.489,54.0533,55.97
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,10 years,54.1773,0.5183,53.1555,55.1871
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,Diagnosis,100,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,1 year,87.6075,0.4702,86.6535,88.498
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,2 years,81.8057,0.5577,80.6832,82.8702
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,3 years,78.0378,0.609,76.8162,79.204
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,4 years,75.4541,0.6447,74.1633,76.6908
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,5 years,73.528,0.6738,72.1807,74.822
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,6 years,71.8352,0.7015,70.4336,73.1835
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,7 years,70.5689,0.7264,69.1183,71.9658
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,8 years,69.7054,0.7485,68.2109,71.1452
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,9 years,68.9116,0.772,67.3706,70.3967
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,10 years,68.0067,0.804,66.4019,69.5533
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,Diagnosis,100,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,1 year,78.2521,0.4738,77.3064,79.1638
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,2 years,70.2659,0.5368,69.1993,71.3035
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,3 years,65.7326,0.5728,64.5966,66.842
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,4 years,62.8777,0.5999,61.6892,64.0408
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,5 years,61.1953,0.6232,59.9612,62.4041
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,6 years,59.7867,0.6484,58.5032,61.0448
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,7 years,58.5634,0.6759,57.2258,59.875
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,8 years,57.4902,0.7075,56.0902,58.8632
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,9 years,55.8503,0.7506,54.3655,57.3073
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,10 years,55.0447,0.792,53.478,56.582
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,Diagnosis,100,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,1 year,65.533,0.545,64.453,66.5893
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,2 years,58.0884,0.5949,56.9126,59.2445
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,3 years,54.4982,0.6346,53.2454,55.7327
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,4 years,51.9444,0.6758,50.6113,53.2599
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,5 years,50.1558,0.721,48.7338,51.5598
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,6 years,48.4151,0.7717,46.8938,49.9184
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,7 years,47.6084,0.8208,45.9906,49.2072
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,8 years,46.6466,0.9026,44.8677,48.4047
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,9 years,45.4894,0.9877,43.5431,47.4135
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,10 years,44.5884,1.0866,42.4476,46.705
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,Diagnosis,100,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,1 year,90.1872,1.5738,86.6037,92.8517
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,2 years,86.0068,1.8407,81.9461,89.2143
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,3 years,82.1058,2.0625,77.6398,85.7621
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,4 years,78.7911,2.2376,74.0029,82.801
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,5 years,78.0861,2.2827,73.2105,82.1836
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,6 years,76.9141,2.3574,71.8937,81.1567
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,7 years,76.0714,2.4161,70.9352,80.4268
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,8 years,76.0714,2.4161,70.9352,80.4268
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,9 years,75.6607,2.4657,70.4201,80.1057
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,10 years,75.6607,2.4657,70.4201,80.1057
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,Diagnosis,100,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,1 year,89.6414,0.6922,88.1982,90.9173
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,2 years,84.9847,0.8221,83.2928,86.5193
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,3 years,81.3642,0.9128,79.4981,83.0789
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,4 years,79.5145,0.9609,77.555,81.3241
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,5 years,77.6927,1.0122,75.6329,79.6026
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,6 years,76.3094,1.0542,74.167,78.301
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,7 years,75.6136,1.0836,73.4122,77.6613
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,8 years,75.0985,1.1115,72.8403,77.1992
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,9 years,74.3718,1.151,72.0337,76.5473
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,10 years,73.53,1.2019,71.0887,75.8014
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 40-64,All Stages,Diagnosis,100,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 40-64,All Stages,1 year,80.1556,0.3951,79.3679,80.917
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 40-64,All Stages,2 years,72.4618,0.4515,71.5654,73.3354
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 40-64,All Stages,3 years,68.1121,0.4828,67.1552,69.0479
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 40-64,All Stages,4 years,65.2175,0.5063,64.215,66.1997
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 40-64,All Stages,5 years,63.4129,0.5259,62.3723,64.4336
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 40-64,All Stages,6 years,61.8466,0.5464,60.7657,62.9074
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 40-64,All Stages,7 years,60.486,0.5683,59.362,61.5898
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 40-64,All Stages,8 years,59.3691,0.5925,58.1976,60.5198
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 40-64,All Stages,9 years,57.9794,0.623,56.7477,59.1898
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 40-64,All Stages,10 years,57.0782,0.6545,55.7843,58.3495
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65-74,All Stages,Diagnosis,100,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65-74,All Stages,1 year,70.9404,0.6671,69.6098,72.225
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65-74,All Stages,2 years,63.4382,0.7343,61.9795,64.8578
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65-74,All Stages,3 years,59.367,0.7811,57.8182,60.8796
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65-74,All Stages,4 years,56.7344,0.8252,55.0998,58.3338
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65-74,All Stages,5 years,54.9164,0.8722,53.1896,56.6077
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65-74,All Stages,6 years,53.1898,0.9175,51.3742,54.97
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65-74,All Stages,7 years,52.0851,0.9719,50.1622,53.9708
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65-74,All Stages,8 years,51.4267,1.0578,49.3331,53.4781
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65-74,All Stages,9 years,50.8381,1.138,48.5852,53.0443
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65-74,All Stages,10 years,50.3538,1.2495,47.8789,52.7743
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 75+,All Stages,Diagnosis,100,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 75+,All Stages,1 year,57.7709,0.9019,55.9813,59.516
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 75+,All Stages,2 years,50.3473,0.9814,48.4076,52.2534
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 75+,All Stages,3 years,47.48,1.0628,45.3823,49.5465
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 75+,All Stages,4 years,44.9912,1.1539,42.7165,47.2372
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 75+,All Stages,5 years,43.0158,1.2411,40.572,45.4342
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 75+,All Stages,6 years,41.3072,1.3819,38.5892,44.002
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 75+,All Stages,7 years,41.0758,1.508,38.1099,44.0154
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 75+,All Stages,8 years,39.4113,1.7136,36.0465,42.7551
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 75+,All Stages,9 years,36.7706,1.9241,33.0064,40.5354
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 75+,All Stages,10 years,34.7033,2.1903,30.4355,39.0009
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 20,All Stages,Diagnosis,100,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 20,All Stages,1 year,90.1575,1.3147,87.2385,92.4378
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 20,All Stages,2 years,85.1627,1.5764,81.7658,87.9737
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 20,All Stages,3 years,80.7958,1.7711,77.0401,84.0018
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 20,All Stages,4 years,76.9509,1.9265,72.9083,80.4724
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 20,All Stages,5 years,75.523,1.9896,71.3609,79.1704
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 20,All Stages,6 years,74.4999,2.0403,70.2398,78.2466
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 20,All Stages,7 years,73.6431,2.0879,69.2896,77.4819
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 20,All Stages,8 years,73.6431,2.0879,69.2896,77.4819
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 20,All Stages,9 years,73.0498,2.1433,68.5823,76.9911
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 20,All Stages,10 years,73.0498,2.1433,68.5823,76.9911
Both Sexes,Asian / Pacific Islander (includes Hispanic),All Ages,All Stages,Diagnosis,100,-,-,-
Both Sexes,Asian / Pacific Islander (includes Hispanic),All Ages,All Stages,1 year,79.679,0.0732,79.535,79.8222
Both Sexes,Asian / Pacific Islander (includes Hispanic),All Ages,All Stages,2 years,72.6485,0.0832,72.4851,72.8112
Both Sexes,Asian / Pacific Islander (includes Hispanic),All Ages,All Stages,3 years,68.534,0.0891,68.3589,68.7083
Both Sexes,Asian / Pacific Islander (includes Hispanic),All Ages,All Stages,4 years,65.7891,0.0938,65.6049,65.9726
Both Sexes,Asian / Pacific Islander (includes Hispanic),All Ages,All Stages,5 years,63.7229,0.0981,63.5302,63.9148
Both Sexes,Asian / Pacific Islander (includes Hispanic),All Ages,All Stages,6 years,62.1513,0.1024,61.9502,62.3516
Both Sexes,Asian / Pacific Islander (includes Hispanic),All Ages,All Stages,7 years,60.7893,0.1069,60.5793,60.9985
Both Sexes,Asian / Pacific Islander (includes Hispanic),All Ages,All Stages,8 years,59.6665,0.1118,59.4469,59.8853
Both Sexes,Asian / Pacific Islander (includes Hispanic),All Ages,All Stages,9 years,58.6393,0.1174,58.4088,58.869
Both Sexes,Asian / Pacific Islander (includes Hispanic),All Ages,All Stages,10 years,57.698,0.1238,57.4549,57.9402
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 50,All Stages,Diagnosis,100,-,-,-
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 50,All Stages,1 year,90.6205,0.1129,90.3968,90.8393
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 50,All Stages,2 years,85.308,0.139,85.0333,85.5781
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 50,All Stages,3 years,81.9323,0.1536,81.629,82.2311
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 50,All Stages,4 years,79.6006,0.1637,79.2776,79.9192
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 50,All Stages,5 years,77.8001,0.1719,77.461,78.1348
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 50,All Stages,6 years,76.5019,0.1785,76.15,76.8495
