Sex,Race/Ethnicity,Age,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction
Both Sexes,All Races (includes Hispanic),Ages < 50,2008,17.9307,17.7496,18.1131,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2009,17.7777,17.5969,17.96,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2010,17.2038,17.0254,17.3836,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2011,16.8134,16.6362,16.992,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2012,16.5685,16.392,16.7464,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2013,16.3108,16.1347,16.4883,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2014,16.0276,15.8523,16.2044,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2015,15.5196,15.3469,15.6937,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2016,15.5051,15.3326,15.6791,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2000,280.7231,279.1252,282.3279,2000-2008,-2.0502,-2.2011,-1.8991,Trend is Falling
Both Sexes,All Races (includes Hispanic),Ages 50-64,2001,277.1361,275.5739,278.705,2008-2016,-1.2809,-1.4248,-1.1368,Trend is Falling
Both Sexes,All Races (includes Hispanic),Ages 50-64,2002,272.3794,270.8634,273.9017,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2003,266.0186,264.5512,267.4922,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2004,258.3998,256.9813,259.8242,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2005,254.414,253.0325,255.8013,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2006,250.1295,248.783,251.4815,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2007,243.4271,242.1264,244.733,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2008,238.4152,237.1473,239.6882,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2009,236.3066,235.0642,237.554,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2010,232.9064,231.693,234.1247,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2011,230.0467,228.8579,231.2402,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2012,228.5492,227.3693,229.7338,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2013,223.8329,222.673,224.9975,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2014,222.4546,221.306,223.6077,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2015,218.972,217.8386,220.1098,,,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2016,214.2149,213.098,215.3362,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2000,1119.8294,1116.3281,1123.3389,2000-2010,-1.3275,-1.3964,-1.2585,Trend is Falling
Both Sexes,All Races (includes Hispanic),Ages 65+,2001,1104.4156,1100.9527,1107.8867,2010-2016,-1.6158,-1.7625,-1.4689,Trend is Falling
Both Sexes,All Races (includes Hispanic),Ages 65+,2002,1097.219,1093.7813,1100.6648,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2003,1079.7006,1076.3078,1083.1015,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2004,1060.8349,1057.4863,1064.1914,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2005,1053.2493,1049.9337,1056.5728,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2006,1036.1037,1032.8369,1039.3783,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2007,1025.0899,1021.8641,1028.3233,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2008,1009.5182,1006.3459,1012.6981,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2009,989.7761,986.6592,992.9003,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2010,984.0233,980.9433,987.1105,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2011,965.904,962.8805,968.9346,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2012,950.0207,947.0646,952.9836,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2013,932.1523,929.2649,935.0464,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2014,920.3198,917.4888,923.1574,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2015,907.0095,904.2348,909.7905,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2016,890.3245,887.6103,893.0449,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2000,2.5324,2.4069,2.6627,2000-2016,-1.412,-1.7567,-1.0661,Trend is Falling
Both Sexes,All Races (includes Hispanic),Ages <15,2001,2.4744,2.3505,2.6032,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2002,2.5586,2.4326,2.6893,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2003,2.5461,2.4206,2.6764,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2004,2.4671,2.3434,2.5956,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2005,2.4018,2.2798,2.5287,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2006,2.25,2.1319,2.3728,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2007,2.303,2.1837,2.4271,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2008,2.224,2.1071,2.3457,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2009,2.1625,2.0474,2.2824,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2010,2.164,2.049,2.2838,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2011,2.0973,1.9841,2.2153,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2012,2.2355,2.1186,2.3573,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2013,2.1078,1.9942,2.2262,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2014,2.0068,1.896,2.1225,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2015,2.0855,1.9725,2.2033,,,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2016,2.1707,2.0553,2.2909,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2000,11.0589,10.8549,11.2657,2000-2007,-2.2115,-2.724,-1.6964,Trend is Falling
Both Sexes,All Races (includes Hispanic),Ages 15-39,2001,11.1076,10.9024,11.3156,2007-2016,-0.8104,-1.1882,-0.4312,Trend is Falling
Both Sexes,All Races (includes Hispanic),Ages 15-39,2002,10.7873,10.5842,10.9934,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2003,10.4566,10.2554,10.6607,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2004,10.0605,9.8624,10.2614,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2005,9.903,9.7063,10.1026,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2006,9.8781,9.6818,10.0772,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2007,9.4945,9.3024,9.6895,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2008,9.4945,9.3026,9.6894,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2009,9.6616,9.4676,9.8585,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2010,9.334,9.143,9.5279,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2011,9.222,9.0312,9.4157,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2012,9.0833,8.8946,9.275,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2013,9.0081,8.8207,9.1985,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2014,9.0371,8.8504,9.2266,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2015,8.893,8.7092,9.0796,,,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2016,9.0231,8.8393,9.2097,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2000,173.6805,172.7967,174.5676,2000-2008,-2.0599,-2.2098,-1.9098,Trend is Falling
Both Sexes,All Races (includes Hispanic),Ages 40-64,2001,171.8571,170.9909,172.7266,2008-2016,-1.5122,-1.6605,-1.3637,Trend is Falling
Both Sexes,All Races (includes Hispanic),Ages 40-64,2002,168.8044,167.9619,169.6501,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2003,165.0739,164.2554,165.8956,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2004,160.1222,159.3291,160.9183,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2005,158.2043,157.4276,158.9839,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2006,154.9408,154.1826,155.7019,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2007,150.8177,150.081,151.5572,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2008,147.6693,146.9481,148.3933,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2009,146.1131,145.4036,146.8252,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2010,143.4504,142.7559,144.1476,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2011,141.2878,140.6051,141.9731,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2012,140.0302,139.3518,140.7111,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2013,137.2676,136.5976,137.9402,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2014,135.9508,135.2861,136.618,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2015,133.1355,132.4802,133.7933,,,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2016,130.5417,129.8938,131.1922,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2000,816.4311,812.3064,820.5716,2000-2016,-1.957,-1.9942,-1.9198,Trend is Falling
Both Sexes,All Races (includes Hispanic),Ages 65-74,2001,800.0377,795.9533,804.1378,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2002,788.6291,784.5715,792.7026,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2003,766.6974,762.703,770.7076,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2004,752.0915,748.1454,756.0533,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2005,739.9426,736.0449,743.8557,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2006,723.916,720.0882,727.759,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2007,711.9068,708.1512,715.6774,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2008,699.2591,695.6002,702.9324,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2009,679.901,676.3495,683.4664,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2010,674.1816,670.6913,677.6855,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2011,659.8146,656.4101,663.2324,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2012,646.7219,643.4443,650.012,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2013,630.7578,627.6043,633.9232,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2014,617.3042,614.2526,620.367,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2015,608.8713,605.9011,611.8523,,,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2016,592.4017,589.5247,595.2892,,,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2000,1451.8129,1446.0369,1457.6062,2000-2007,-0.8644,-0.9969,-0.7317,Trend is Falling
Both Sexes,All Races (includes Hispanic),Ages 75+,2001,1437.4711,1431.7627,1443.1966,2007-2016,-1.2906,-1.38,-1.2011,Trend is Falling
Both Sexes,All Races (includes Hispanic),Ages 75+,2002,1434.8832,1429.2189,1440.5643,,,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2003,1422.1941,1416.5949,1427.8098,,,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2004,1398.667,1393.1441,1404.2064,,,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2005,1396.0748,1390.5981,1401.5678,,,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2006,1377.7048,1372.298,1383.1277,,,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2007,1367.7801,1362.421,1373.1551,,,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2008,1349.0091,1343.7099,1354.324,,,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2009,1328.8466,1323.6046,1334.1042,,,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2010,1323.0573,1317.8619,1328.2681,,,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2011,1300.8321,1295.7144,1305.9649,,,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2012,1281.8953,1276.8517,1286.9539,,,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2013,1261.9432,1256.9798,1266.9213,,,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2014,1251.8847,1246.9876,1256.7963,,,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2015,1233.2373,1228.4225,1238.0663,,,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2016,1216.3167,1211.586,1221.0613,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2000,2.8188,2.7041,2.9372,2000-2010,-2.0435,-2.5966,-1.4873,Trend is Falling
Both Sexes,All Races (includes Hispanic),Ages < 20,2001,2.7522,2.639,2.8689,2010-2016,-0.3496,-1.6301,0.9477,Stable
Both Sexes,All Races (includes Hispanic),Ages < 20,2002,2.7974,2.6835,2.9149,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2003,2.7402,2.6277,2.8563,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2004,2.7179,2.606,2.8334,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2005,2.6535,2.5433,2.7673,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2006,2.4626,2.3567,2.5721,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2007,2.4909,2.3845,2.6007,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2008,2.4404,2.3355,2.5488,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2009,2.3485,2.2457,2.4548,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2010,2.3075,2.2055,2.413,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2011,2.3118,2.2096,2.4176,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2012,2.4123,2.3076,2.5206,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2013,2.3221,2.2192,2.4286,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2014,2.233,2.1321,2.3375,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2015,2.2561,2.1546,2.3612,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2016,2.3335,2.2303,2.4403,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2000,155.8223,147.2263,164.7408,2000-2016,-0.9227,-1.2497,-0.5947,Trend is Falling
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2001,168.6547,159.8766,177.7438,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2002,164.1121,155.556,172.9714,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2003,160.2663,151.8499,168.9815,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2004,170.2962,161.8524,179.0244,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2005,161.8963,153.8624,170.2019,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2006,157.1475,149.2889,165.2726,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2007,161.2581,153.4262,169.3473,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2008,163.1798,155.4897,171.1157,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2009,150.6548,143.5415,157.9982,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2010,158.8582,151.6675,166.2712,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2011,146.6297,139.8612,153.6124,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2012,149.6494,142.9967,156.5062,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2013,149.8555,143.2981,156.6109,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2014,145.2039,138.8786,151.72,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2015,148.5763,142.3332,155.002,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2016,141.3669,135.4443,147.4639,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2000,14.9822,12.8124,17.3936,2000-2016,-1.1896,-1.9042,-0.4699,Trend is Falling
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2001,18.0406,15.6886,20.6268,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2002,15.2785,13.1496,17.6357,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2003,15.4987,13.3782,17.8422,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2004,17.0439,14.833,19.4738,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2005,17.1327,14.9445,19.5342,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2006,14.6975,12.7105,16.8913,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2007,14.7954,12.8213,16.9716,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2008,15.0523,13.0598,17.2456,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2009,15.4932,13.5085,17.6721,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2010,13.6078,11.7768,15.6285,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2011,14.3464,12.4543,16.429,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2012,14.1693,12.2803,16.2499,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2013,14.8549,12.9154,16.9861,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2014,12.4018,10.6308,14.365,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2015,14.1267,12.2522,16.1899,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2016,14.5948,12.6706,16.7102,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,2000,206.3892,186.1351,228.2388,2000-2016,-0.8374,-1.4548,-0.2161,Trend is Falling
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,2001,240.9163,219.4563,263.8987,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,2002,233.5345,212.9904,255.5192,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,2003,207.1067,188.3203,227.2559,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,2004,236.7497,217.1104,257.6824,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,2005,227.22,208.4461,247.2231,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,2006,194.7088,177.8149,212.7687,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,2007,200.1732,183.5745,217.8659,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,2008,212.5427,195.902,230.2169,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,2009,216.6823,200.3357,234.0062,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,2010,224.4856,208.2831,241.6139,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,2011,196.2783,181.4525,211.9928,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,2012,200.9445,186.1586,216.5938,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,2013,202.8493,188.2001,218.3371,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,2014,191.1335,177.1214,205.9612,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,2015,200.5178,186.3381,215.4924,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,2016,206.537,192.3397,221.51,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,2000,902.2377,840.2246,967.6154,2000-2016,-0.9227,-1.313,-0.5308,Trend is Falling
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,2001,945.2907,882.4895,1011.3751,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,2002,933.9223,872.3241,998.7174,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,2003,933.5911,872.3725,997.948,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,2004,968.93,907.9563,1032.9143,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,2005,913.2665,855.4036,974.012,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,2006,928.2129,870.7609,988.4505,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,2007,953.6928,896.3209,1013.7559,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,2008,952.7495,896.6207,1011.4545,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,2009,846.2108,794.9007,899.9566,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,2010,912.6547,860.4068,967.2312,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,2011,845.1404,795.9891,896.5188,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,2012,864.5101,816.3231,914.7953,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,2013,859.9555,812.5954,909.3372,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,2014,851.0977,805.2251,898.8897,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,2015,856.7695,811.8153,903.551,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,2016,789.9041,747.8275,833.7175,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,2000,-,-,-,2000-2016,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,2001,-,-,-,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,2002,-,-,-,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,2003,-,-,-,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,2004,-,-,-,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,2005,-,-,-,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,2006,-,-,-,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,2007,-,-,-,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,2008,-,-,-,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,2009,-,-,-,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,2010,-,-,-,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,2011,-,-,-,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,2012,-,-,-,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,2013,-,-,-,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,2014,-,-,-,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,2015,-,-,-,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,2016,-,-,-,,,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,2000,9.0459,6.8377,11.7233,2000-2016,-1.2623,-2.7677,0.2664,Stable
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,2001,12.6918,10.0732,15.7678,,,,,
