Sex,Race/Ethnicity,Age,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2004,42.6079,41.94,43.2839,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2005,42.0755,41.4161,42.7429,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2006,40.9727,40.3263,41.6269,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2007,40.1369,39.5018,40.7796,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2008,39.3497,38.7262,39.9806,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2009,38.66,38.0467,39.2806,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2010,37.8223,37.2214,38.4305,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2011,37.3204,36.7284,37.9195,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2012,36.8508,36.2702,37.4383,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2013,35.7566,35.1919,36.328,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2014,35.3661,34.8115,35.9272,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2015,34.2455,33.7059,34.7915,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2016,33.8259,33.2967,34.3614,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2000,0.091,0.0685,0.1184,2000-2016,-3.9631,-5.6607,-2.2349,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2001,0.0655,0.0468,0.0892,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2002,0.1209,0.0949,0.1518,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2003,0.082,0.0608,0.1081,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2004,0.0733,0.0532,0.0983,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2005,0.0909,0.0685,0.1184,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2006,0.0724,0.0526,0.0972,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2007,0.0661,0.0472,0.09,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2008,0.0648,0.0461,0.0886,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2009,0.0624,0.0442,0.0857,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2010,0.0575,0.0401,0.08,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2011,0.0526,0.036,0.0742,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2012,0.0592,0.0415,0.0819,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2013,0.0476,0.0319,0.0683,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2014,0.064,0.0455,0.0874,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2015,0.0577,0.0402,0.0802,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages <15,2016,0.0509,0.0346,0.0723,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2000,0.7506,0.6983,0.8059,2000-2005,-5.9304,-7.5655,-4.2664,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2001,0.7394,0.6873,0.7944,2005-2016,-3.6785,-4.2994,-3.0536,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2002,0.6713,0.6216,0.7239,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2003,0.6257,0.5775,0.6768,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2004,0.597,0.55,0.647,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2005,0.5437,0.4988,0.5917,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2006,0.5276,0.4834,0.5746,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2007,0.524,0.4801,0.5708,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2008,0.5194,0.4756,0.5661,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2009,0.5151,0.4715,0.5616,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2010,0.4578,0.4167,0.5017,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2011,0.4529,0.4118,0.4969,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2012,0.4225,0.3831,0.4648,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2013,0.4266,0.3871,0.469,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2014,0.3978,0.3599,0.4386,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2015,0.3908,0.3535,0.4309,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 15-39,2016,0.3547,0.3195,0.3926,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2000,6.311,6.1434,6.482,2000-2005,-6.1547,-6.8676,-5.4363,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2001,6.0236,5.8623,6.1883,2005-2016,-3.4935,-3.7379,-3.2485,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2002,5.5601,5.4079,5.7155,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2003,5.2457,5.1005,5.394,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2004,4.8643,4.7268,5.0049,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2005,4.6709,4.5381,4.8067,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2006,4.4782,4.3497,4.6096,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2007,4.332,4.2075,4.4594,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2008,4.0847,3.9652,4.207,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2009,3.9972,3.8804,4.1168,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2010,3.8827,3.7686,3.9996,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2011,3.7478,3.6368,3.8614,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2012,3.5822,3.474,3.693,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2013,3.3724,3.2678,3.4797,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2014,3.382,3.2772,3.4894,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2015,3.2491,3.1469,3.3539,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 40-64,2016,3.1618,3.0609,3.2652,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2000,30.4414,29.6491,31.2495,2000-2007,-3.9616,-4.4594,-3.4611,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2001,29.161,28.3854,29.9525,2007-2016,-2.5917,-2.9504,-2.2317,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2002,28.6881,27.9183,29.4738,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2003,26.7262,25.9843,27.4839,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2004,26.0444,25.3137,26.7909,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2005,24.8137,24.1029,25.5401,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2006,23.9965,23.3024,24.7059,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2007,23.114,22.4399,23.8032,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2008,21.9535,21.3077,22.6137,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2009,21.6461,21.0145,22.2918,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2010,21.6881,21.0638,22.3262,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2011,20.8068,20.2043,21.4226,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2012,20.4408,19.8582,21.036,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2013,19.4285,18.876,19.9931,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2014,19.3277,18.7883,19.8786,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2015,18.4019,17.886,18.9287,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65-74,2016,18.1499,17.6458,18.6647,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2000,65.533,64.3105,66.7729,2000-2016,-1.5181,-1.5857,-1.4504,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2001,64.2245,63.0229,65.4434,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2002,63.0505,61.8682,64.2498,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2003,62.6831,61.5127,63.8702,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2004,60.732,59.5869,61.8936,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2005,60.9637,59.8251,62.1186,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2006,59.5483,58.4302,60.6824,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2007,58.7635,57.6594,59.8835,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2008,58.3849,57.2894,59.4961,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2009,57.2768,56.1966,58.3725,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2010,55.4766,54.4221,56.5464,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2011,55.3898,54.3421,56.4526,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2012,54.8069,53.7736,55.8551,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2013,53.623,52.6086,54.652,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2014,52.9154,51.9171,53.9282,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2015,51.5818,50.6048,52.5731,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 75+,2016,50.9788,50.0192,51.9522,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2000,0.1425,0.1176,0.171,2000-2016,-4.2614,-5.1711,-3.3429,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2001,0.124,0.101,0.1507,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2002,0.1442,0.1194,0.1727,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2003,0.1255,0.1024,0.1522,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2004,0.1216,0.0989,0.1479,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2005,0.1231,0.1003,0.1495,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2006,0.1061,0.0852,0.1306,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2007,0.103,0.0825,0.1271,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2008,0.1097,0.0885,0.1344,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2009,0.0887,0.0697,0.1112,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2010,0.0888,0.0699,0.1114,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2011,0.0765,0.0589,0.0977,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2012,0.0725,0.0554,0.0934,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2013,0.0724,0.0553,0.0933,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2014,0.0837,0.0651,0.1059,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2015,0.0885,0.0693,0.1112,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 20,2016,0.0726,0.0554,0.0935,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2000,6.1781,4.5182,8.1825,2000-2016,-2.0877,-3.5496,-0.6036,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2001,7.3568,5.6161,9.4149,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2002,3.6853,2.5371,5.1312,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2003,5.4031,3.9822,7.1195,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2004,5.2805,3.8749,6.9796,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2005,5.1289,3.7793,6.7578,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2006,4.9241,3.5993,6.527,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2007,4.6939,3.43,6.224,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2008,4.3233,3.1438,5.7565,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2009,5.3572,4.0436,6.9178,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2010,4.3999,3.2509,5.7834,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2011,3.87,2.84,5.1189,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2012,4.5036,3.3369,5.9017,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2013,4.2026,3.1362,5.4803,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2014,3.7932,2.8184,4.9671,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2015,4.957,3.8279,6.2839,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2016,4.4651,3.4387,5.6767,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2000,-,-,-,2000-2016,-,-,-,-,Non-Hodgkin Lymphoma,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2001,1.3768,0.7966,2.1954,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2002,-,-,-,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2003,-,-,-,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2004,-,-,-,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2005,-,-,-,,,,,,Non-Hodgkin Lymphoma,,,
